time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-28T18:14:45.855Z,38.4199,44.9097,16,5.9,mww,239,31,1.459,0.76,us,us6000jk0t,2023-04-11T18:51:39.040Z,"14 km SSW of Khowy, Iran",earthquake,5.24,1.769,0.045,48,reviewed,us,us
2023-01-18T10:08:14.166Z,38.4334,44.9458,19.102,5.7,mww,195,59,1.192,0.64,us,us7000j56z,2023-03-31T19:45:07.040Z,"12 km S of Khowy, Iran",earthquake,5.45,3.772,0.069,20,reviewed,us,us
2022-11-23T01:08:15.435Z,40.8356,30.9831,10,6.1,mww,286,14,0.399,0.64,us,us7000irp8,2024-10-23T05:22:10.667Z,"15 km W of Düzce, Turkey",earthquake,5.05,1.647,0.052,35,reviewed,us,us
2022-11-20T23:24:58.462Z,35.8357,26.4319,63,5.5,mww,235,43,1.371,0.76,us,us7000ir86,2023-01-30T06:00:29.040Z,"Crete, Greece",earthquake,5.08,1.857,0.05,39,reviewed,us,us
2022-10-11T15:48:46.359Z,37.2612,36.2339,10,5,mww,104,38,1.618,0.56,us,us6000isrr,2022-12-17T22:53:54.040Z,"17 km SE of Kadirli, Turkey",earthquake,3.18,1.751,0.045,47,reviewed,us,us
2022-10-05T00:21:29.702Z,38.5064,45.0259,15,5.6,mww,105,67,1.558,0.67,us,us6000iqx6,2022-12-10T22:53:11.040Z,"8 km SE of Khowy, Iran",earthquake,7.72,1.811,0.057,30,reviewed,us,us
2022-09-27T14:08:32.729Z,40.7188,42.8876,10,5.3,mww,87,38,1.525,0.56,us,us6000inmr,2022-12-03T22:02:29.040Z,"22 km WSW of Susuz, Turkey",earthquake,5.08,1.811,0.047,43,reviewed,us,us
2022-09-21T17:57:54.724Z,38.4613,44.9496,10,5.1,mww,75,62,1.494,0.92,us,us7000i9z2,2022-11-26T20:57:50.040Z,"9 km S of Khowy, Iran",earthquake,4.74,1.819,0.093,11,reviewed,us,us
2022-08-31T10:10:11.426Z,37.5527,26.8515,10.926,5.4,mww,126,34,1.641,0.53,us,us7000i3yp,2022-11-06T04:36:59.040Z,"14 km NW of Megálo Chorió, Greece",earthquake,4.26,4.068,0.041,57,reviewed,us,us
2022-08-14T03:24:22.958Z,37.9952,27.1512,11.697,5,mww,89,22,1.213,1.05,us,us6000ianw,2022-10-28T02:25:49.040Z,"3 km SE of Özdere, Turkey",earthquake,4.27,3.321,0.098,10,reviewed,us,us
2022-06-12T18:35:20.871Z,38.7366,43.5068,10,5.2,mww,67,56,0.55,0.73,us,us7000hgyu,2022-08-21T00:16:32.040Z,"28 km NNE of Van, Turkey",earthquake,4.7,1.9,0.086,13,reviewed,us,us
2022-04-09T14:02:15.496Z,38.1155,38.6617,10,5.3,mww,,55,1.008,0.87,us,us7000h0wh,2022-06-20T22:07:34.040Z,"9 km NNE of Sincik, Turkey",earthquake,4.8,1.8,0.062,25,reviewed,us,us
2022-02-13T18:25:56.058Z,41.1598,44.01,10,5.3,mww,,29,0.993,0.88,us,us7000gkl5,2022-04-30T14:18:07.040Z,"18 km WSW of Metsavan, Armenia",earthquake,4.6,1.8,0.057,30,reviewed,us,us
2022-01-05T03:21:16.251Z,36.1445,31.2928,42.99,5.1,mww,,42,1.268,0.95,us,us7000g94d,2022-03-12T22:19:08.040Z,"67 km SSW of Okurcalar, Turkey",earthquake,5.4,4,0.055,32,reviewed,us,us
2021-11-30T04:00:40.529Z,37.7371,26.0792,10,5.1,mww,,43,1.481,0.61,us,us6000g7ta,2022-02-05T23:03:28.040Z,"23 km NW of Agios Kirykos, Greece",earthquake,2.6,1.8,0.063,24,reviewed,us,us
2021-11-19T12:40:53.461Z,39.8267,41.9223,6.17,5.1,mwr,,34,1.112,0.77,us,us7000fvfl,2022-05-29T19:06:08.046Z,"23 km NW of Karayaz?, Turkey",earthquake,5,4.4,0.078,16,reviewed,us,us
2021-11-08T17:43:21.856Z,37.8434,32.1713,10,5.1,mww,,22,1.315,0.58,us,us7000fsfm,2022-01-15T20:51:41.040Z,"23 km SE of Derbent, Turkey",earthquake,4.9,1.8,0.05,39,reviewed,us,us
2021-08-31T11:04:26.926Z,39.0422,30.1894,10,5.1,mww,,21,0.861,0.49,us,us7000f66b,2021-11-06T20:28:39.040Z,"19 km W of ?hsaniye, Turkey",earthquake,4,1.8,0.059,28,reviewed,us,us
2021-08-07T01:39:45.606Z,36.2724,27.0356,18.4,5,mww,,45,0.73,1.11,us,us6000f328,2021-10-23T15:45:46.040Z,"38 km SSW of Mandráki, Greece",earthquake,3.8,3.3,0.042,55,reviewed,us,us
